Date,Arrivals,DayOfWeek,IsWeekend
2024-05-18,50,5,True
2024-05-19,40,6,True
2024-05-20,57,0,False
2024-05-21,62,1,False
2024-05-22,48,2,False
2024-05-23,57,3,False
2024-05-24,57,4,False
2024-05-25,49,5,True
2024-05-26,39,6,True
2024-05-27,48,0,False
2024-05-28,58,1,False
2024-05-29,56,2,False
2024-05-30,56,3,False
2024-05-31,56,4,False
2024-06-01,41,5,True
2024-06-02,45,6,True
2024-06-03,56,0,False
2024-06-04,50,1,False
2024-06-05,63,2,False
2024-06-06,56,3,False
2024-06-07,47,4,False
2024-06-08,47,5,True
2024-06-09,38,6,True
2024-06-10,57,0,False
2024-06-11,89,1,False
2024-06-12,49,2,False
2024-06-13,57,3,False
2024-06-14,54,4,False
2024-06-15,46,5,True
2024-06-16,51,6,True
2024-06-17,51,0,False
2024-06-18,48,1,False
2024-06-19,47,2,False
2024-06-20,47,3,False
2024-06-21,51,4,False
2024-06-22,43,5,True
2024-06-23,42,6,True
2024-06-24,55,0,False
2024-06-25,51,1,False
2024-06-26,58,2,False
2024-06-27,49,3,False
2024-06-28,64,4,False
2024-06-29,43,5,True
2024-06-30,35,6,True
2024-07-01,44,0,False
2024-07-02,52,1,False
2024-07-03,48,2,False
2024-07-04,52,3,False
2024-07-05,81,4,False
2024-07-06,38,5,True
2024-07-07,34,6,True
2024-07-08,41,0,False
2024-07-09,46,1,False
2024-07-10,52,2,False
2024-07-11,49,3,False
2024-07-12,41,4,False
2024-07-13,38,5,True
2024-07-14,39,6,True
2024-07-15,43,0,False
2024-07-16,78,1,False
2024-07-17,47,2,False
2024-07-18,71,3,False
2024-07-19,48,4,False
2024-07-20,39,5,True
2024-07-21,41,6,True
2024-07-22,51,0,False
2024-07-23,39,1,False
2024-07-24,41,2,False
2024-07-25,48,3,False
2024-07-26,48,4,False
2024-07-27,38,5,True
2024-07-28,54,6,True
2024-07-29,48,0,False
2024-07-30,50,1,False
2024-07-31,49,2,False
2024-08-01,48,3,False
2024-08-02,43,4,False
2024-08-03,38,5,True
2024-08-04,30,6,True
2024-08-05,43,0,False
2024-08-06,41,1,False
2024-08-07,44,2,False
2024-08-08,55,3,False
2024-08-09,34,4,False
2024-08-10,37,5,True
2024-08-11,25,6,True
2024-08-12,40,0,False
2024-08-13,48,1,False
2024-08-14,43,2,False
2024-08-15,37,3,False
2024-08-16,39,4,False
2024-08-17,36,5,True
2024-08-18,28,6,True
2024-08-19,43,0,False
2024-08-20,42,1,False
2024-08-21,68,2,False
2024-08-22,52,3,False
2024-08-23,45,4,False
2024-08-24,21,5,True
2024-08-25,32,6,True
2024-08-26,38,0,False
2024-08-27,45,1,False
2024-08-28,37,2,False
2024-08-29,40,3,False
2024-08-30,43,4,False
2024-08-31,35,5,True
2024-09-01,25,6,True
2024-09-02,39,0,False
2024-09-03,38,1,False
2024-09-04,37,2,False
2024-09-05,79,3,False
2024-09-06,42,4,False
2024-09-07,24,5,True
2024-09-08,35,6,True
2024-09-09,51,0,False
2024-09-10,45,1,False
2024-09-11,32,2,False
2024-09-12,38,3,False
2024-09-13,76,4,False
2024-09-14,26,5,True
2024-09-15,32,6,True
2024-09-16,44,0,False
2024-09-17,35,1,False
2024-09-18,39,2,False
2024-09-19,23,3,False
2024-09-20,35,4,False
2024-09-21,28,5,True
2024-09-22,23,6,True
2024-09-23,48,0,False
2024-09-24,32,1,False
2024-09-25,37,2,False
2024-09-26,40,3,False
2024-09-27,47,4,False
2024-09-28,22,5,True
2024-09-29,35,6,True
2024-09-30,40,0,False
2024-10-01,35,1,False
2024-10-02,42,2,False
2024-10-03,41,3,False
2024-10-04,37,4,False
2024-10-05,30,5,True
2024-10-06,28,6,True
2024-10-07,40,0,False
2024-10-08,43,1,False
2024-10-09,48,2,False
2024-10-10,33,3,False
2024-10-11,80,4,False
2024-10-12,20,5,True
2024-10-13,29,6,True
2024-10-14,43,0,False
2024-10-15,41,1,False
2024-10-16,37,2,False
2024-10-17,39,3,False
2024-10-18,38,4,False
2024-10-19,27,5,True
2024-10-20,34,6,True
2024-10-21,42,0,False
2024-10-22,37,1,False
2024-10-23,45,2,False
2024-10-24,72,3,False
2024-10-25,44,4,False
2024-10-26,34,5,True
2024-10-27,26,6,True
2024-10-28,38,0,False
2024-10-29,44,1,False
2024-10-30,44,2,False
2024-10-31,41,3,False
2024-11-01,42,4,False
2024-11-02,37,5,True
2024-11-03,28,6,True
2024-11-04,44,0,False
2024-11-05,40,1,False
2024-11-06,40,2,False
2024-11-07,47,3,False
2024-11-08,46,4,False
2024-11-09,36,5,True
2024-11-10,38,6,True
2024-11-11,42,0,False
2024-11-12,46,1,False
2024-11-13,41,2,False
2024-11-14,44,3,False
2024-11-15,42,4,False
2024-11-16,33,5,True
2024-11-17,36,6,True
2024-11-18,39,0,False
2024-11-19,53,1,False
2024-11-20,38,2,False
2024-11-21,67,3,False
2024-11-22,49,4,False
2024-11-23,38,5,True
2024-11-24,37,6,True
2024-11-25,47,0,False
2024-11-26,44,1,False
2024-11-27,40,2,False
2024-11-28,45,3,False
2024-11-29,41,4,False
2024-11-30,39,5,True
2024-12-01,34,6,True
2024-12-02,41,0,False
2024-12-03,43,1,False
2024-12-04,47,2,False
2024-12-05,43,3,False
2024-12-06,41,4,False
2024-12-07,37,5,True
2024-12-08,37,6,True
2024-12-09,43,0,False
2024-12-10,44,1,False
2024-12-11,47,2,False
2024-12-12,39,3,False
2024-12-13,40,4,False
2024-12-14,33,5,True
2024-12-15,36,6,True
2024-12-16,49,0,False
2024-12-17,55,1,False
2024-12-18,52,2,False
2024-12-19,47,3,False
2024-12-20,48,4,False
2024-12-21,33,5,True
2024-12-22,38,6,True
2024-12-23,47,0,False
2024-12-24,50,1,False
2024-12-25,45,2,False
2024-12-26,51,3,False
2024-12-27,57,4,False
2024-12-28,69,5,True
2024-12-29,41,6,True
2024-12-30,53,0,False
